ID,PRODUS_ID,CARACTERISTICA_ID,MISC
474,341,750051,
475,341,750059,
476,341,384,
477,341,928,
478,341,757,
479,341,746,
480,341,608185,
481,341,608182,
482,341,608184,
483,341,406273,
484,341,608180,
485,341,406280,
486,342,189,
487,342,5,
488,342,45,
489,342,43,
490,342,7,
491,342,9,
492,342,4,
493,342,558,
494,342,835,
495,342,1325,
496,342,1457,
497,342,1453,
498,342,4047,
499,342,608196,
500,342,608189,
501,342,608195,
502,342,4079,
503,342,4076,
504,342,406280,
505,8,247,
506,8,282,
642,346,306,
643,346,46,
644,346,49,
645,346,190,
646,346,381,
647,346,189,
648,346,750010,
649,346,3853,
650,346,3849,
651,346,3851,
652,346,3910,
653,346,3926,
654,346,4012,
655,346,608194,
656,346,608198,
657,346,608185,
658,346,608190,
659,346,608196,
660,346,750007,
661,346,608183,
662,346,750012,
663,346,750014,
664,347,198,
665,347,43,
666,347,316,
667,347,5,
668,347,131,
669,347,4040,
670,347,3958,
671,347,3963,
672,347,3974,
673,347,3968,
674,347,3960,
675,347,3904,
676,347,417274,
677,347,417260,
678,347,417275,
679,347,406269,
680,347,406273,
681,347,417263,
682,348,43,
683,348,198,
684,348,77,
685,348,1327,
686,348,1392,
687,348,3853,
688,348,750010,
689,348,3955,
690,348,3968,
691,348,750012,
692,348,750014,
693,349,43,
694,349,255,
695,349,191,
696,349,197,
697,349,3902,
698,349,3996,
699,349,3984,
700,349,4071,
701,349,4076,
702,349,417273,
703,349,417272,
704,350,69,
705,350,271,
706,350,170,
707,350,77,
708,350,3901,
709,350,3885,
710,350,4036,
711,350,3851,
712,350,750014,
713,350,608188,
714,350,608198,
715,350,608184,
716,350,608183,
717,351,225,
718,351,192,
719,351,131,
720,351,70,
721,351,575,
722,351,1348,
723,351,4018,
724,351,4043,
725,351,4015,
726,351,4047,
727,351,3921,
728,351,3918,
729,351,417257,
730,351,417258,
731,351,417275,
732,351,406274,
733,351,406269,
734,352,60,
735,352,71,
736,352,152,
737,352,151,
738,352,566,
739,352,501,
740,352,455,
741,352,502,
742,352,695,
743,352,926,
744,352,608194,
745,352,608192,
746,352,608197,
747,352,608196,
748,352,608198,
749,352,436397,
750,352,436401,
751,352,608195,
752,352,436403,
753,10,5,
754,10,451,
756,10,754,
757,10,761,
758,10,458,
759,10,456,
760,10,22001,
761,10,608185,
762,10,608180,
763,10,608186,
788,353,63,
789,353,214,
790,353,215,
791,353,223,
792,353,212,
793,353,65,
794,353,11,
795,353,9,
796,353,61,
797,353,217,
798,353,3933,
799,353,3923,
800,353,3934,
801,353,4006,
802,353,3939,
803,353,4008,
804,353,3937,
805,353,4009,
806,353,3938,
807,353,3843,
808,353,4007,
809,353,750079,
786,353,224,
787,353,62,
810,353,3845,
811,353,3847,
812,353,750013,
813,353,750014,
814,353,750077,
815,353,750080,
816,353,750081,
817,353,355114,
818,353,355115,
819,353,355116,
820,353,355111,
821,353,355106,
822,353,355101,
823,353,355100,
824,353,355103,
825,353,750006,
826,354,234,
827,354,381,
828,354,142,
829,354,143,
830,354,235,
831,354,144,
832,354,213,
833,354,212,
834,354,3923,
835,354,3927,
836,354,750079,
837,354,3934,
838,354,3936,
839,354,3937,
840,354,3935,
841,354,3938,
842,354,3939,
843,354,4008,
844,354,4007,
845,354,4009,
846,354,4006,
847,354,750013,
848,354,750014,
849,354,750077,
850,354,750078,
851,354,750082,
852,354,406276,
853,354,355108,
854,354,406271,
855,354,406280,
856,354,750083,
857,355,1,
858,355,213,
859,355,750084,
860,355,750085,
861,355,750086,
862,355,750087,
863,355,3923,
864,355,750009,
865,355,750088,
866,355,3847,
867,355,651582,
868,355,618127,
892,2,22,
893,2,261,
894,2,566,
895,2,578,
896,2,695,
897,2,1279,
898,2,3254,
899,2,750089,
900,2,3991,
901,2,4027,
902,2,22332,
903,2,750004,
904,2,750005,
905,345,49,
883,5,212,
884,5,249,
885,5,295,
886,5,384,
887,5,407,
888,5,750008,
889,5,3965,
890,5,750004,
891,2,8,
906,345,70,
907,345,192,
908,345,196,
909,345,197,
910,345,2178,
911,345,3847,
912,345,3848,
913,345,3857,
914,345,3920,
915,345,3923,
916,345,3958,
917,345,3964,
918,345,233746,
919,345,296723,
920,345,296727,
921,345,296728,
922,345,296729,
